BatchStart
|name    |ra     |dec   |app_mag|app_mag_flag|limit_ang_diameter|ang_diameter|source_type|
|NGC 2093|05 41.5|-68 55|       |            |                  |            |C+N        |
|NGC 1825|05 04.1|-68 55|       |            |                  |            |OC         |
|NGC 2042|05 35.8|-68 54|       |            |                  |            |C+N        |
|NGC 1858|05 09.7|-68 54|       |            |                  |            |C+N        |
|IC 5252 |22 48.1|-68 54|       |            |                  |  1.2       |Gx         |
|NGC 1785|04 58.6|-68 52|       |            |                  |            |-          |
|IC 5232 |22 37.8|-68 52|       |            |                  |            |U          |
|NGC 1855|05 09.4|-68 51|       |            |                  |            |-          |
|NGC 1854|05 09.1|-68 51| 10.0  |p           |                  |            |OC         |
|NGC 1676|04 43.7|-68 50|       |            |                  |            |OC         |
|NGC 1966|05 26.8|-68 49|       |            |                  | 13.0       |Nb         |
|NGC 1649|04 38.1|-68 49|       |            |                  |            |-          |
|NGC 2249|06 25.9|-68 48|       |            |                  |            |Gb         |
|NGC 1953|05 25.4|-68 48|       |            |                  |            |Gb         |
|NGC 1962|05 26.5|-68 47|  8.0  |p           |                  |            |C+N        |
|NGC 1965|05 26.5|-68 47|  8.0  |p           |                  |            |C+N        |
|NGC 1970|05 26.5|-68 47|  8.0  |p           |                  |            |C+N        |
|NGC 1865|05 12.2|-68 47|       |            |                  |            |OC         |
|NGC 1863|05 11.4|-68 47|       |            |                  |            |OC         |
|NGC 1734|04 53.3|-68 47|       |            |                  |            |OC         |
|NGC 1860|05 10.4|-68 46|       |            |                  |            |OC         |
|NGC 1850|05 08.5|-68 46|  9.3  |            |                  |  3.0       |OC         |
|NGC 6943|20 44.5|-68 45| 12.0  |p           |                  |  4.1       |Gx         |
|NGC 2001|05 29.1|-68 44|       |            |                  |            |C+N        |
|IC 5256 |22 49.8|-68 42|       |            |                  |  1.1       |Gx         |
|IC 4787 |18 56.1|-68 41|       |            |                  |  1.4       |Gx         |
|NGC 1732|04 52.9|-68 40|       |            |                  |            |OC         |
|NGC 1652|04 38.1|-68 40|       |            |                  |            |Gb         |
|NGC 7216|22 12.6|-68 40|       |            |                  |  1.4       |Gx         |
|NGC 2172|05 59.9|-68 38|       |            |                  |            |OC         |
|NGC 2159|05 57.9|-68 38|       |            |                  |            |OC         |
|NGC 1839|05 05.9|-68 37|       |            |                  |            |C+N        |
|NGC 1836|05 05.3|-68 37|       |            |                  |            |OC         |
|NGC 2140|05 54.0|-68 36|       |            |                  |            |OC         |
|NGC 6719|19 03.1|-68 35|       |            |                  |  1.6       |Gx         |
|IC 4789 |18 56.3|-68 34|       |            |                  |  1.4       |Gx         |
|NGC 2116|05 46.9|-68 32|       |            |                  |            |OC         |
|NGC 2109|05 44.4|-68 32|       |            |                  |            |C+N        |
|NGC 1697|04 48.6|-68 32|       |            |                  |            |OC         |
|NGC 2164|05 58.7|-68 31| 10.0  |p           |                  |            |OC         |
|NGC 1949|05 25.1|-68 29|       |            |                  |            |Nb         |
|NGC 2096|05 42.2|-68 28|       |            |                  |            |OC         |
|NGC 2156|05 57.6|-68 27|       |            |                  |            |OC         |
|NGC 1838|05 05.9|-68 27|       |            |                  |            |OC         |
|IC 2117 |04 57.2|-68 27|       |            |                  |            |Nb         |
|IC 5055 |20 52.9|-68 27|       |            |                  |            |U          |
|IC 5339 |23 38.1|-68 27|       |            |                  |  1.2       |Gx         |
|NGC 1901|05 17.8|-68 26|       |            |                  |            |OC         |
|NGC 813 |02 01.6|-68 26|       |            |                  |  1.3       |Gx         |
|NGC 1770|04 57.0|-68 25|  9.0  |p           |                  |            |C+N        |
|IC 4740 |18 43.0|-68 22|       |            |                  |  1.1       |Gx         |
|NGC 2094|05 42.1|-68 21|       |            |                  |            |OC         |
|NGC 2160|05 58.0|-68 17|       |            |                  |            |OC         |
|NGC 7032|21 15.4|-68 17|       |            |                  |  1.1       |Gx         |
|NGC 2214|06 12.8|-68 16| 11.0  |p           |                  |            |OC         |
|NGC 2098|05 42.5|-68 16|       |            |                  |            |C+N        |
|NGC 1696|04 48.0|-68 16|       |            |                  |            |OC         |
|IC 5286 |23 09.8|-68 16|       |            |                  |            |U          |
|NGC 1768|04 56.7|-68 15|       |            |                  |            |OC         |
|NGC 2147|05 56.0|-68 12|       |            |                  |            |C+N        |
|NGC 1749|04 54.6|-68 12|       |            |                  |            |OC         |
|NGC 1473|03 47.4|-68 12|       |            |                  |            |Gx         |
|NGC 1755|04 55.0|-68 11|  9.9  |            |                  |  2.0       |OC         |
|NGC 2601|08 25.5|-68 07|       |            |                  |  2.0       |Gx         |
|IC 5288 |23 11.7|-68 06|       |            |                  |  1.8       |Gx         |
|NGC 1736|04 53.1|-68 04|       |            |                  |            |Nb         |
|NGC 2114|05 45.8|-68 03|       |            |                  |            |OC         |
|IC 2128 |05 22.8|-68 03|       |            |                  |            |Nb         |
|NGC 2178|06 02.8|-63 46|       |            |                  |  1.0       |Gx         |
|NGC 1829|05 04.7|-68 03|  8.0  |p           |                  |            |C+N        |
|NGC 7655|23 26.7|-68 02|       |            |                  |            |Gx         |
|NGC 1936|05 22.1|-67 59|       |            |                  |            |C+N        |
|NGC 1806|05 01.9|-67 59| 11.0  |p           |                  |            |Gb         |
|NGC 1935|05 21.9|-67 58|       |            |                  |            |C+N        |
|IC 2127 |05 21.9|-67 58|       |            |                  |            |U          |
|IC 2126 |05 21.9|-67 57|       |            |                  |            |U          |
|NGC 2788|09 09.0|-67 56|       |            |                  |            |Gx         |
|NGC 2166|05 59.3|-67 56|       |            |                  |            |OC         |
|NGC 1934|05 21.8|-67 56|       |            |                  |            |C+N        |
|NGC 1929|05 21.6|-67 56|       |            |                  |            |C+N        |
|NGC 1937|05 22.3|-67 55|       |            |                  |            |C+N        |
|NGC 1899|05 17.8|-67 53|       |            |                  |            |Nb         |
|NGC 802 |01 59.1|-67 52|       |            |                  |  0.7       |Gx         |
|IC 4921 |20 03.3|-67 50|       |            |                  |            |U          |
|IC 5323 |23 27.6|-67 49|       |            |                  |  1.6       |Gx         |
|IC 5324 |23 28.3|-67 49|       |            |                  |  1.3       |Gx         |
|NGC 1852|05 09.0|-67 47|       |            |                  |            |C+N        |
|NGC 1786|04 59.1|-67 45| 10.1  |            |                  |  1.2       |Gb         |
|IC 5320 |23 27.4|-67 45|       |            |                  |            |U          |
|IC 5322 |23 27.5|-67 45|       |            |                  |            |U          |
|NGC 2177|06 01.0|-67 43|       |            |                  |            |OC         |
|NGC 2020|05 33.1|-67 42|       |            |                  |            |Nb         |
|NGC 1764|04 56.2|-67 41|       |            |                  |            |OC         |
|NGC 2014|05 32.2|-67 40|  8.0  |p           |                  |            |C+N        |
|IC 4191 |13 08.8|-67 39| 12.0  |p           |                  |  0.1       |Pl         |
|NGC 7633|23 23.1|-67 39|       |            |                  |  2.1       |Gx         |
|NGC 1864|05 12.5|-67 38|       |            |                  |            |OC         |
|NGC 1511|03 59.5|-67 38| 12.0  |p           |                  |  3.3       |Gx         |
|IC 2202 |07 27.9|-67 34|       |            |                  |  2.1       |Gx         |
|NGC 2032|05 35.3|-67 34|       |            |                  |            |C+N        |
|NGC 2035|05 35.3|-67 34|       |            |                  |            |C+N        |
|NGC 2040|05 36.1|-67 33|       |            |                  |            |C+N        |
|NGC 2029|05 35.4|-67 33|       |            |                  |            |C+N        |
|NGC 2231|06 20.4|-67 32|       |            |                  |            |Gb         |
